,T_Const,primaryTitle,movieId,tsne_score
198,117110,Muppet Treasure Island,2795,-86.503555
199,327850,The Rundown,8360,-86.49534
200,145660,Austin Powers: The Spy Who Shagged Me,3972,-86.4804
201,88011,Romancing the Stone,904,-86.44472
202,184894,Shanghai Noon,4447,-86.40517
203,93260,Innerspace,1131,-86.360504
204,100758,Teenage Mutant Ninja Turtles,1370,-86.31215
205,116704,First Strike,2722,-86.26499
206,250687,Rat Race,5577,-86.21165
207,90555,Crocodile Dundee,1021,-86.194115
208,120912,Men in Black II,3555,-86.12551
209,107362,Last Action Hero,1831,-86.08946
210,295178,Austin Powers in Goldmember,6755,-86.07953
211,274166,Johnny English,6296,-86.06249
212,300471,Shanghai Knights,6873,-86.01403
213,108333,The Three Musketeers,1956,-85.924164
214,122718,Small Soldiers,3618,-85.916
215,355295,The Brothers Grimm,8981,-85.67792
216,89370,The Jewel of the Nile,934,-85.59671
217,103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1457,-85.5609
218,120828,Six Days Seven Nights,3483,-85.43831
219,91129,The Golden Child,1037,-85.404175
220,160127,Charlie's Angels,4019,-85.28985
221,112760,Cutthroat Island,2321,-85.28702
222,227538,Spy Kids,5066,-85.26883
223,92493,Crocodile Dundee II,1094,-85.247574
224,119190,George of the Jungle,3098,-85.13059
225,239395,Cats & Dogs,5265,-84.83467
226,117331,The Phantom,2802,-84.77431
227,305357,Charlie's Angels: Full Throttle,6944,-84.74333
228,86393,Superman III,786,-84.71773
229,231402,Crocodile Dundee in Los Angeles,5128,-84.69467
230,108308,Teenage Mutant Ninja Turtles III,1955,-84.66098
231,91225,Howard the Duck,1057,-84.6381
232,141369,Inspector Gadget,3893,-84.55752
233,417148,Snakes on a Plane,48394,-82.40806
234,120179,Speed 2: Cruise Control,3255,-82.403145
235,184858,Reindeer Games,4446,-82.40125
236,463985,The Fast and the Furious: Tokyo Drift,56367,-82.397514
237,322259,2 Fast 2 Furious,7373,-82.39736
238,257076,S.W.A.T.,5785,-82.39718
239,111143,The Shadow,2135,-82.396385
240,232500,The Fast and the Furious,5151,-82.38962
241,73195,Jaws,410,-80.53282
242,58150,Goldfinger,231,-80.193275
243,57076,From Russia with Love,222,-80.17425
244,59800,Thunderball,246,-80.12703
245,62512,You Only Live Twice,265,-80.095055
246,64757,On Her Majesty's Secret Service,296,-80.06281
247,66995,Diamonds Are Forever,329,-80.00627
248,70328,Live and Let Die,362,-79.98231
249,71807,The Man with the Golden Gun,379,-79.95241
250,76752,The Spy Who Loved Me,468,-79.89155
251,83944,First Blood,653,-79.758194
252,82398,For Your Eyes Only,587,-79.67255
253,89880,Rambo: First Blood Part II,986,-79.405556
254,90264,A View to a Kill,1013,-79.402176
255,93428,The Living Daylights,1171,-79.331985
256,95956,Rambo III,1228,-79.20616
257,97742,Licence to Kill,1272,-79.20413
258,99810,The Hunt for Red October,1333,-79.190384
259,109676,Drop Zone,2010,-79.003235
260,106582,Cliffhanger,1721,-78.97801
261,114781,Under Siege 2: Dark Territory,2505,-78.95976
262,116253,Executive Decision,2686,-78.881
263,115759,Broken Arrow,2600,-78.870766
264,118928,Dante's Peak,3034,-78.83976
265,117998,Twister,2942,-78.80314
266,120347,Tomorrow Never Dies,3264,-78.75024
267,113189,GoldenEye,2371,-78.747955
268,111257,Speed,2141,-78.6987
269,186566,Space Cowboys,4571,-78.68592
270,143145,The World Is Not Enough,3916,-78.66405
271,295701,xXx,6773,-78.60046
272,117500,The Rock,2808,-78.588745
273,112864,Die Hard with a Vengeance,2336,-78.55918
274,246460,Die Another Day,5464,-78.54664
275,117060,Mission: Impossible,2791,-78.54106
276,120755,Mission: Impossible II,3439,-78.54102
277,317919,Mission: Impossible III,7324,-78.18968
278,429493,The A-Team,51077,-78.14116
279,1320253,The Expendables,94677,-78.14082
280,830515,Quantum of Solace,67255,-78.117004
281,1194173,The Bourne Legacy,88125,-78.08103
282,2379713,Spectre,122916,-77.94848
283,2381249,Mission: Impossible - Rogue Nation,122920,-77.89181
284,381061,Casino Royale,40278,-77.85458
285,1074638,Skyfall,81932,-77.79954
286,1646971,How to Train Your Dragon 2,106489,-75.47032
287,2245084,Big Hero 6,118696,-75.46298
288,892769,How to Train Your Dragon,69844,-75.461655
289,1446192,Rise of the Guardians,98961,-75.461586
290,983193,The Adventures of Tintin,73017,-75.46134
291,1490017,The Lego Movie,102445,-75.46127
292,441773,Kung Fu Panda,53000,-75.46086
293,1302011,Kung Fu Panda 2,93363,-75.46034
294,472033,9,57640,-75.45966
295,317705,The Incredibles,7317,-75.45937
296,129167,The Iron Giant,3699,-75.45839
297,1192628,Rango,87520,-75.45824
298,106364,Batman: Mask of the Phantasm,1693,-75.45773
299,107692,Ninja Scroll,1884,-75.457184
300,173840,Final Fantasy: The Spirits Within,4291,-75.454605
301,120913,Titan A.E.,3556,-75.451675
302,230011,Atlantis: The Lost Empire,5103,-75.45056
303,54047,The Magnificent Seven,172,-73.92583
304,65214,The Wild Bunch,303,-73.919525
305,111756,Wyatt Earp,2186,-73.8781
306,317648,Hidalgo,7293,-73.877335
307,120053,The Saint,3244,-73.8408
308,183790,A Knight's Tale,4388,-73.83682
309,61578,The Dirty Dozen,253,-73.22375
310,96895,Batman,1250,-73.21956
311,87469,Indiana Jones and the Temple of Doom,839,-73.21846
312,120657,The 13th Warrior,3360,-73.211334
313,112462,Batman Forever,2249,-73.2059
314,82971,Indiana Jones and the Raiders of the Lost Ark,596,-73.20383
315,97576,Indiana Jones and the Last Crusade,1269,-73.20203
316,367882,Indiana Jones and the Kingdom of the Crystal Skull,33004,-73.188194
317,111280,Star Trek: Generations,2143,-72.20747
318,53125,North by Northwest,163,-72.20494
319,368891,National Treasure,33493,-72.19106
320,465234,National Treasure: Book of Secrets,56587,-72.18923
321,346156,Sky Captain and the World of Tomorrow,8917,-72.18821
322,112715,Congo,2312,-72.17892
323,1515091,Sherlock Holmes: A Game of Shadows,103141,-72.17504
324,988045,Sherlock Holmes,76077,-72.17249
325,1840309,Divergent,111759,-72.17056
326,389722,30 Days of Night,44555,-71.18059
327,463854,28 Weeks Later,56174,-71.17834
328,93773,Predator,1179,-71.17755
329,370263,Alien vs. Predator,34048,-71.16388
330,118615,Anaconda,2959,-71.16355
331,816711,World War Z,65230,-71.14928
332,499448,The Chronicles of Narnia: Prince Caspian,60684,-70.11617
333,102803,The Rocketeer,1438,-70.11125
334,120738,Lost in Space,3421,-70.10768
335,113820,Mighty Morphin Power Rangers: The Movie,2409,-70.106224
336,449010,Eragon,53996,-70.10542
337,417741,Harry Potter and the Half-Blood Prince,48516,-70.093185
338,373889,Harry Potter and the Order of the Phoenix,36519,-70.08902
339,91326,The Karate Kid Part II,1061,-69.89886
340,1375666,Inception,95510,-68.5512
341,848228,The Avengers,68954,-68.39351
342,4154756,Avengers: Infinity War,176371,-68.29399
343,1392190,Mad Max: Fury Road,96821,-68.17635
344,371746,Iron Man,34162,-68.13607
345,2488496,Star Wars: Episode VII - The Force Awakens,122924,-68.02019
346,1843866,Captain America: The Winter Soldier,111781,-67.9068
347,3498820,Captain America: Civil War,159093,-67.87799
348,1877832,X-Men: Days of Future Past,112290,-67.83829
349,1631867,Edge of Tomorrow,104913,-67.80471
350,3748528,Rogue One: A Star Wars Story,168250,-67.75399
351,2395427,Avengers: Age of Ultron,122922,-67.65709
352,1270798,X-Men: First Class,91500,-67.651985
353,1392170,The Hunger Games,96737,-67.60843
354,796366,Star Trek,63876,-67.59905
355,1825683,Black Panther,111743,-67.58198
356,1951264,The Hunger Games: Catching Fire,112623,-67.53099
357,2250912,Spider-Man: Homecoming,119141,-67.522896
358,1408101,Star Trek Into Darkness,97752,-67.42921
359,1300854,Iron Man 3,93326,-67.42859
360,770828,Man of Steel,62374,-67.2893
361,107290,Jurassic Park,1805,-67.2394
362,458339,Captain America: The First Avenger,55290,-67.19663
363,145487,Spider-Man,3968,-67.15919
364,1228705,Iron Man 2,89492,-67.11787
365,316654,Spider-Man 2,7173,-66.93605
366,90605,Aliens,1022,-66.78784
367,369610,Jurassic World,33794,-66.66119
368,948470,The Amazing Spider-Man,72011,-66.66105
369,418279,Transformers,48738,-66.62867
370,120903,X-Men,3536,-66.56905
371,379786,Serenity,39446,-66.43897
372,119116,The Fifth Element,3072,-66.29823
373,1483013,Oblivion,102407,-66.25628
374,2975590,Batman v Superman: Dawn of Justice,139385,-66.22757
375,1663662,Pacific Rim,107348,-66.02483
376,116629,Independence Day,2713,-65.92203
377,3385516,X-Men: Apocalypse,152081,-65.88311
378,1872181,The Amazing Spider-Man 2,112183,-65.703316
379,2660888,Star Trek Beyond,135143,-65.62178
380,1951265,The Hunger Games: Mockingjay - Part 1,112852,-65.61052
381,800080,The Incredible Hulk,64614,-65.40416
382,1104001,TRON: Legacy,84374,-65.38422
383,831387,Godzilla,67734,-65.3786
384,376994,X-Men: The Last Stand,37741,-65.36679
385,1731141,Ender's Game,110102,-65.24024
386,401729,John Carter,45672,-65.2317
387,413300,Spider-Man 3,47629,-65.20688
388,438488,Terminator Salvation,52973,-65.14013
389,1399103,Transformers: Dark of the Moon,97304,-65.09434
390,407304,War of the Worlds,46578,-65.056984
391,319262,The Day After Tomorrow,7360,-64.92768
392,1055369,Transformers: Revenge of the Fallen,81591,-64.80508
393,489099,Jumper,59900,-64.731926
394,1190080,2012,87306,-64.70331
395,348150,Superman Returns,8950,-64.58112
396,120591,Armageddon,3274,-64.55578
397,296572,The Chronicles of Riddick,6787,-64.54212
398,119567,The Lost World: Jurassic Park,3160,-64.40002
399,163025,Jurassic Park III,4034,-64.291534
400,402022,Æon Flux,45728,-64.13899
401,133152,Planet of the Apes,3752,-64.123085
402,268695,The Time Machine,6242,-64.09117
403,253754,Star Trek: Nemesis,5673,-64.03975
404,149261,Deep Blue Sea,3996,-63.97211
405,116225,Escape from L.A.,2671,-63.813904
406,118661,The Avengers,2973,-63.80251
407,185183,Battlefield Earth,4487,-63.793606
408,120844,Star Trek: Insurrection,3499,-63.768482
409,114898,Waterworld,2532,-63.743507
410,94074,Superman IV: The Quest for Peace,1196,-63.721405
411,120201,Starship Troopers,3258,-63.44747
412,111282,Stargate,2144,-63.1942
413,100802,Total Recall,1371,-62.96804
414,102975,Star Trek VI: The Undiscovered Country,1449,-62.86536
415,89530,Mad Max Beyond Thunderdome,953,-62.82568
416,87182,Dune,832,-62.763767
417,88170,Star Trek III: The Search for Spock,909,-62.70708
418,84827,TRON,733,-62.658768
419,79574,Moonraker,516,-62.652294
420,81573,Superman II,551,-62.62169
421,82340,Escape from New York,585,-62.620518
422,79501,Mad Max,514,-62.608665
423,82694,The Road Warrior,593,-62.597595
424,84726,Star Trek II: The Wrath of Khan,714,-62.59363
425,74812,Logan's Run,428,-62.579098
426,65462,Beneath the Planet of the Apes,307,-62.568913
427,78346,Superman,491,-62.568825
428,83866,E.T. the Extra-Terrestrial,640,-61.302517
429,49223,Forbidden Planet,150,-61.272167
430,62622,2001: A Space Odyssey,266,-61.26827
431,63442,Planet of the Apes,276,-61.266026
432,87544,Nausicaä of the Valley of the Wind,849,-61.264996
433,24216,King Kong,10,-61.17113
434,79945,Star Trek: The Motion Picture,527,-60.84108
435,86837,2010: The Year We Make Contact,800,-60.83824
436,1446714,Prometheus,99007,-60.810814
437,183523,Mission to Mars,4370,-60.747707
438,70723,Soylent Green,370,-59.848877
439,66921,A Clockwork Orange,327,-59.673565
440,93870,RoboCop,1188,-59.301197
441,119094,Face/Off,3062,-59.29038
442,100502,RoboCop 2,1358,-59.2763
443,453467,Deja Vu,54997,-59.275818
444,1343727,Dredd,94959,-59.272438
445,111438,Timecop,2145,-59.271915
446,107978,RoboCop 3,1911,-59.269688
447,113492,Judge Dredd,2394,-59.26965
448,114857,Virtuosity,2529,-59.269146
449,1790864,The Maze Runner,111360,-58.22372
450,1650062,Super 8,106696,-58.221912
451,343818,"I, Robot",8914,-58.221806
452,120184,Sphere,3256,-58.217876
453,338337,Paycheck,8798,-58.217228
454,216216,The 6th Day,5010,-58.21705
455,114614,Tank Girl,2476,-57.892975
456,1213663,The World's End,88744,-57.892918
457,120891,Wild Wild West,3534,-57.891075
458,115624,Barb Wire,2571,-57.111053
459,118688,Batman & Robin,2985,-57.10381
460,370032,Ultraviolet,33836,-57.101643
461,286716,Hulk,6586,-57.083862
462,105698,Universal Soldier,1674,-57.08167
463,94631,Alien Nation,1203,-57.08153
464,68408,Conquest of the Planet of the Apes,342,-57.08129
465,67065,Escape from the Planet of the Apes,333,-57.078156
466,181852,Terminator 3: Rise of the Machines,4351,-57.07447
467,458525,X-Men Origins: Wolverine,55765,-57.070293
468,1430132,The Wolverine,98243,-57.069687
469,242653,The Matrix Revolutions,5313,-57.06701
470,234215,The Matrix Reloaded,5152,-57.0613
471,88247,The Terminator,911,-57.035667
472,103064,Terminator 2: Judgment Day,1459,-57.02687
473,133093,The Matrix,3751,-56.989204
474,120461,Volcano,3269,-55.593803
475,113481,Johnny Mnemonic,2393,-55.592873
476,115857,Chain Reaction,2606,-55.592392
477,1535108,Elysium,103228,-55.58993
478,480249,I Am Legend,59315,-55.58471
479,238380,Equilibrium,5225,-55.584373
480,120647,Deep Impact,3355,-55.58434
481,1276104,Looper,91529,-55.584187
482,1318514,Rise of the Planet of the Apes,93840,-55.582745
483,86567,WarGames,799,-55.580723
484,1454468,Gravity,101864,-55.57996
485,83658,Blade Runner,610,-55.579826
486,434409,V for Vendetta,51935,-55.579567
487,206634,Children of Men,4886,-55.57897
488,3315342,Logan,152077,-55.57616
489,114508,Species,2470,-54.071136
490,359013,Blade: Trinity,27773,-54.070404
491,164052,Hollow Man,4041,-54.069424
492,100403,Predator 2,1350,-54.06807
493,103644,Alien³,1476,-54.0676
494,118583,Alien: Resurrection,2952,-54.067368
495,318627,Resident Evil: Apocalypse,7346,-54.066853
496,120804,Resident Evil,3477,-54.06656
497,1060277,Cloverfield,81834,-54.06621
498,187738,Blade II,4638,-54.065006
499,134847,Pitch Black,3791,-54.063503
500,120611,Blade,3300,-54.06237
501,363547,Dawn of the Dead,30822,-53.67095
502,100994,Young Guns II,1373,-53.07909
503,96487,Young Guns,1244,-53.078117
504,46534,The War of the Worlds,107,-52.055275
505,120685,Godzilla,3397,-52.038795
506,70909,Westworld,372,-52.03608
507,199753,Red Planet,4823,-52.033173
508,267804,The One,6156,-52.030365
509,93894,The Running Man,1193,-52.027573
510,435705,Next,52281,-52.022827
511,2872732,Lucy,136864,-52.021667
512,986263,Surrogates,74789,-52.020576
513,106697,Demolition Man,1735,-52.019352
514,1136608,District 9,86190,-52.019226
515,1637688,In Time,105844,-52.01692
516,290334,X2: X-Men United,6708,-52.016693
517,399201,The Island,45517,-52.016632
518,1706620,Snowpiercer,109374,-52.013115
519,448134,Sunshine,53972,-51.298725
520,1219289,Limitless,89470,-51.29812
521,1385826,The Adjustment Bureau,96079,-51.217854
522,259324,Ghost Rider,5872,-50.439762
523,401855,Underworld: Evolution,45722,-50.414566
524,320691,Underworld,7371,-50.40863
525,465602,Shoot 'Em Up,56775,-50.400097
526,111503,True Lies,2150,-50.39327
527,114214,The Quick and the Dead,2431,-49.708637
528,944835,Salt,71530,-49.667267
529,119874,The Peacemaker,3189,-49.660347
530,292506,The Recruit,6709,-49.65872
531,337978,Live Free or Die Hard,8783,-49.65799
532,1028528,Death Proof,79702,-49.65738
533,1229238,Mission: Impossible - Ghost Protocol,89745,-49.657227
534,95016,Die Hard,1212,-49.654568
535,133952,The Siege,3763,-49.652214
536,120660,Enemy of the State,3361,-49.652065
537,100263,Nikita,1347,-49.652
538,105690,Under Siege,1672,-49.651627
539,99423,Die Hard 2,1299,-49.651596
540,144117,The Boondock Saints,3948,-49.65143
541,105112,Patriot Games,1615,-49.65136
542,89118,F/X,926,-49.650646
543,462322,Grindhouse,56152,-49.103287
544,808151,Angels & Demons,64957,-48.617565
545,118883,Conspiracy Theory,3020,-48.615944
546,790724,Jack Reacher,63131,-48.609432
547,372183,The Bourne Supremacy,34319,-48.606747
548,258463,The Bourne Identity,5816,-48.60468
549,440963,The Bourne Ultimatum,52975,-48.602108
550,758774,Body of Lies,61024,-47.64296
551,164184,The Sum of All Fears,4069,-47.64168
552,228750,Proof of Life,5072,-47.640682
553,159273,Behind Enemy Lines,4016,-47.640163
554,118571,Air Force One,2951,-47.639103
555,822854,Shooter,66097,-47.63903
556,114069,Outbreak,2423,-47.63795
557,112740,Crimson Tide,2318,-47.635303
558,111255,The Specialist,2140,-47.6306
559,87985,Red Dawn,900,-47.63009
560,55630,Yojimbo,194,-47.618927
561,209958,The Cell,4963,-46.56318
562,78748,Alien,493,-46.462093
563,104692,The Lawnmower Man,1587,-46.452106
564,119675,Mimic,3175,-46.450493
565,79714,Phantasm,520,-46.448532
566,116654,The Island of Dr. Moreau,2716,-46.011414
567,114852,Village of the Damned,2528,-46.004295
568,884328,The Mist,69526,-46.002865
569,114367,Screamers,2455,-45.99904
570,119081,Event Horizon,3060,-45.999012
571,100318,Pacific Heights,1348,-45.51565
572,99052,Arachnophobia,1291,-45.137424
573,103919,Candyman,1515,-45.095318
574,94862,Child's Play,1208,-45.094917
575,97162,Dead Calm,1256,-45.09442
576,87050,Children of the Corn,830,-45.089314
577,93177,Hellraiser,1127,-45.08858
578,195714,Final Destination,4728,-45.08457
579,84516,Poltergeist,694,-45.07299
580,77402,Dawn of the Dead,474,-45.066467
581,77651,Halloween,480,-45.06556
582,63350,Night of the Living Dead,272,-45.06232
583,435625,The Descent,52245,-45.012585
584,77766,Jaws 2,485,-45.007393
585,115571,The Arrival,2567,-44.120693
586,139809,The Thirteenth Floor,3868,-44.1194
587,114746,12 Monkeys,2502,-44.10377
588,96734,The 'Burbs,1245,-43.727554
589,52357,Vertigo,161,-43.70916
590,48728,To Catch a Thief,145,-43.70802
591,142688,The Ninth Gate,3911,-43.67593
592,116922,Lost Highway,2762,-43.670143
593,309698,Identity,7022,-43.66735
594,47396,Rear Window,122,-43.66644
595,382625,The Da Vinci Code,40732,-43.662846
596,41959,The Third Man,52,-43.656754
597,1130884,Shutter Island,84954,-43.65605
598,209144,Memento,4901,-43.655907
599,54215,Psycho,175,-42.908764
600,230600,The Others,5110,-42.89607
601,387564,Saw,44022,-42.89578
602,80761,Friday the 13th,538,-42.895443
603,164181,Stir of Echoes,4054,-42.891804
604,120681,From Hell,3396,-42.891518
605,1259521,The Cabin in the Woods,91077,-42.891254
606,5052448,Get Out,179819,-42.888123
607,74751,King Kong,427,-42.217976
608,70047,The Exorcist,361,-42.002216
609,72271,The Texas Chain Saw Massacre,382,-42.000195
610,83907,The Evil Dead,647,-41.998604
611,78767,The Amityville Horror,494,-41.99709
612,87800,A Nightmare on Elm Street,880,-41.995937
613,145531,Stigmata,3969,-41.9907
614,450278,Hostel,54272,-41.987625
615,84787,The Thing,719,-41.377995
616,73747,The Stepford Wives,417,-41.37441
617,133751,The Faculty,3755,-41.36637
618,120907,eXistenZ,3551,-41.362072
619,75005,The Omen,434,-40.848877
620,74285,Carrie,421,-40.848
621,117571,Scream,2822,-40.845886
