,0
846,2395
847,2396
848,2398
849,2402
850,2403
851,2404
852,2405
853,2406
854,2407
855,2409
856,2410
857,2411
858,2412
859,2413
860,2414
861,2416
862,2420
863,2421
864,2422
865,2423
866,2424
867,2427
868,2428
869,2431
870,2433
871,2447
872,2450
873,2454
874,2455
875,2459
876,2463
877,2467
878,2468
879,2470
880,2471
881,2474
882,2476
883,2478
884,2485
885,2490
886,2496
887,2501
888,2502
889,2505
890,2527
891,2528
892,2529
893,2530
894,2532
895,2533
896,2539
897,2541
898,2542
899,2565
900,2567
901,2571
902,2572
903,2580
904,2581
905,2583
906,2596
907,2598
908,2599
909,2600
910,2605
911,2606
912,2616
913,2617
914,2622
915,2628
916,2640
917,2641
918,2642
919,2643
920,2648
921,2657
922,2662
923,2664
924,2671
925,2672
926,2683
927,2686
928,2687
929,2688
930,2692
931,2694
932,2699
933,2700
934,2701
935,2702
936,2706
937,2707
938,2710
939,2712
940,2713
941,2716
942,2717
943,2719
944,2720
945,2722
946,2723
947,2724
948,2728
949,2731
950,2735
951,2739
952,2746
953,2761
954,2762
955,2763
956,2770
957,2779
958,2788
959,2791
960,2792
961,2794
962,2795
963,2796
964,2797
965,2798
966,2802
967,2803
968,2804
969,2805
970,2808
971,2819
972,2822
973,2826
974,2827
975,2840
976,2841
977,2857
978,2858
979,2863
980,2867
981,2871
982,2872
983,2881
984,2890
985,2901
986,2908
987,2912
988,2915
989,2916
990,2918
991,2921
992,2926
993,2942
994,2944
995,2947
996,2948
997,2949
998,2950
999,2951
1000,2952
1001,2953
1002,2959
1003,2966
1004,2968
1005,2973
1006,2985
1007,2986
1008,2987
1009,2989
1010,2990
1011,2991
1012,2993
1013,2995
1014,2997
1015,3000
1016,3004
1017,3005
1018,3006
1019,3016
1020,3020
1021,3030
1022,3033
1023,3034
1024,3035
1025,3037
1026,3039
1027,3044
1028,3052
1029,3053
1030,3060
1031,3062
1032,3070
1033,3072
1034,3081
1035,3082
1036,3083
1037,3087
1038,3088
1039,3089
1040,3098
1041,3100
1042,3101
1043,3104
1044,3105
1045,3107
1046,3108
1047,3113
1048,3114
1049,3146
1050,3147
1051,3148
1052,3156
1053,3157
1054,3159
1055,3160
1056,3168
1057,3173
1058,3174
1059,3175
1060,3176
1061,3178
1062,3186
1063,3189
1064,3198
1065,3203
1066,3210
1067,3213
1068,3219
1069,3243
1070,3244
1071,3246
1072,3247
1073,3248
1074,3252
1075,3253
1076,3254
1077,3255
1078,3256
1079,3257
1080,3258
1081,3259
1082,3260
1083,3261
1084,3262
1085,3263
1086,3264
1087,3267
1088,3268
1089,3269
1090,3270
1091,3271
1092,3273
1093,3274
1094,3275
1095,3285
1096,3298
1097,3300
1098,3301
1099,3307
1100,3316
1101,3317
1102,3328
1103,3354
1104,3355
1105,3359
1106,3360
1107,3361
1108,3362
1109,3363
1110,3386
1111,3388
1112,3396
1113,3397
1114,3398
1115,3408
1116,3409
1117,3418
1118,3421
1119,3424
1120,3429
1121,3435
1122,3438
1123,3439
1124,3440
1125,3441
1126,3448
1127,3450
1128,3451
1129,3452
1130,3461
1131,3462
1132,3468
1133,3471
1134,3476
1135,3477
1136,3479
1137,3481
1138,3483
1139,3489
1140,3499
1141,3503
1142,3504
1143,3507
1144,3508
1145,3510
1146,3526
1147,3527
1148,3534
1149,3535
1150,3536
1151,3543
1152,3551
1153,3552
1154,3555
1155,3556
1156,3564
1157,3578
1158,3591
1159,3593
1160,3608
1161,3615
1162,3617
1163,3618
1164,3623
1165,3624
1166,3633
1167,3635
1168,3638
1169,3639
1170,3646
1171,3654
1172,3668
1173,3671
1174,3681
1175,3683
1176,3686
1177,3688
1178,3697
1179,3698
1180,3699
1181,3701
1182,3702
1183,3703
1184,3704
1185,3717
1186,3730
1187,3735
1188,3740
1189,3741
1190,3744
1191,3745
1192,3751
1193,3752
1194,3753
1195,3755
1196,3763
1197,3783
1198,3784
1199,3785
1200,3791
1201,3793
1202,3798
1203,3809
1204,3812
1205,3821
1206,3824
1207,3825
1208,3826
1209,3827
1210,3831
1211,3836
1212,3852
1213,3861
1214,3863
1215,3868
1216,3869
1217,3882
1218,3893
1219,3897
1220,3910
1221,3911
1222,3916
1223,3917
1224,3948
1225,3949
1226,3967
1227,3968
1228,3969
1229,3972
1230,3977
1231,3978
1232,3979
1233,3980
1234,3981
1235,3984
1236,3986
1237,3988
1238,3994
1239,3996
1240,3997
1241,3998
1242,3999
1243,4002
1244,4005
1245,4007
1246,4008
1247,4011
1248,4014
1249,4015
1250,4016
1251,4017
1252,4018
1253,4019
1254,4020
1255,4022
1256,4023
1257,4025
1258,4027
1259,4029
1260,4033
1261,4034
1262,4036
1263,4039
1264,4040
1265,4041
1266,4054
1267,4069
1268,4084
1269,4085
1270,4105
1271,4121
1272,4128
1273,4144
1274,4148
1275,4149
1276,4153
1277,4161
1278,4214
1279,4223
1280,4226
1281,4232
1282,4235
1283,4238
1284,4239
1285,4246
1286,4247
1287,4254
1288,4262
1289,4270
1290,4291
1291,4299
1292,4306
1293,4308
1294,4310
1295,4321
1296,4326
1297,4327
1298,4340
1299,4343
1300,4344
1301,4351
1302,4361
1303,4366
1304,4367
1305,4368
1306,4369
1307,4370
1308,4378
1309,4386
1310,4388
1311,4446
1312,4447
1313,4448
1314,4467
1315,4487
1316,4489
1317,4499
1318,4545
1319,4558
1320,4571
1321,4621
1322,4623
1323,4638
1324,4639
1325,4641
1326,4642
1327,4643
1328,4677
1329,4679
1330,4700
1331,4701
1332,4718
1333,4720
1334,4728
1335,4734
1336,4776
1337,4816
1338,4823
1339,4848
1340,4855
1341,4865
1342,4873
1343,4874
1344,4876
1345,4878
1346,4881
1347,4886
1348,4887
1349,4890
1350,4896
1351,4901
1352,4954
1353,4958
1354,4963
1355,4967
1356,4973
1357,4974
1358,4975
1359,4979
1360,4980
1361,4992
1362,4993
1363,4995
1364,5010
1365,5013
1366,5014
1367,5015
1368,5025
1369,5026
1370,5049
1371,5060
1372,5064
1373,5065
1374,5066
1375,5072
1376,5103
1377,5108
1378,5110
1379,5128
1380,5135
1381,5151
1382,5152
1383,5171
1384,5218
1385,5219
1386,5225
1387,5254
1388,5265
1389,5266
1390,5267
1391,5283
1392,5291
1393,5294
1394,5299
1395,5308
1396,5313
1397,5349
1398,5377
1399,5378
1400,5388
1401,5400
1402,5418
1403,5419
1404,5444
1405,5445
1406,5449
1407,5459
1408,5463
1409,5464
1410,5481
1411,5502
1412,5505
1413,5507
1414,5528
1415,5541
1416,5574
1417,5577
1418,5608
1419,5617
1420,5618
1421,5620
1422,5630
1423,5650
1424,5669
1425,5673
1426,5679
1427,5690
1428,5693
1429,5782
1430,5785
1431,5791
1432,5810
1433,5812
1434,5816
1435,5872
1436,5878
1437,5881
1438,5902
1439,5903
1440,5943
1441,5944
1442,5945
1443,5952
1444,5954
1445,5956
1446,5957
1447,5971
1448,5989
1449,5991
1450,5992
1451,5995
1452,6003
1453,6016
1454,6059
1455,6155
1456,6156
1457,6157
1458,6188
1459,6218
1460,6242
1461,6281
1462,6283
1463,6287
1464,6294
1465,6296
1466,6297
1467,6323
1468,6331
1469,6333
1470,6350
1471,6365
1472,6373
1473,6377
1474,6378
1475,6383
1476,6385
1477,6440
1478,6482
1479,6502
1480,6503
1481,6534
1482,6535
1483,6537
1484,6539
1485,6541
1486,6548
1487,6550
1488,6552
1489,6564
1490,6565
1491,6586
1492,6593
1493,6595
1494,6618
1495,6620
1496,6659
1497,6662
1498,6708
1499,6709
1500,6711
1501,6753
1502,6754
1503,6755
1504,6764
1505,6773
1506,6787
1507,6793
1508,6796
1509,6807
1510,6857
1511,6863
1512,6867
1513,6870
1514,6873
1515,6874
1516,6879
1517,6888
1518,6934
1519,6936
1520,6942
1521,6944
1522,6947
1523,6953
1524,6957
1525,6979
1526,6993
1527,7004
1528,7022
1529,7046
1530,7090
1531,7099
1532,7143
1533,7147
1534,7149
1535,7151
1536,7153
1537,7156
1538,7160
1539,7162
1540,7163
1541,7173
1542,7247
1543,7254
1544,7265
1545,7293
1546,7317
1547,7318
1548,7323
1549,7324
1550,7325
1551,7346
1552,7347
1553,7360
1554,7361
1555,7367
1556,7371
1557,7373
1558,7387
1559,7438
1560,7439
1561,7444
1562,7445
1563,7451
1564,7454
1565,7458
1566,7482
1567,7569
1568,8228
1569,8360
1570,8361
1571,8366
1572,8368
1573,8370
1574,8371
1575,8373
1576,8376
1577,8464
1578,8528
1579,8529
1580,8533
1581,8622
1582,8623
1583,8636
1584,8638
1585,8640
1586,8641
1587,8644
1588,8665
1589,8781
1590,8783
1591,8784
1592,8798
1593,8807
1594,8810
1595,8861
1596,8865
1597,8873
1598,8874
1599,8907
1600,8910
1601,8914
1602,8917
1603,8949
1604,8950
1605,8957
1606,8958
1607,8961
1608,8965
1609,8969
1610,8970
1611,8972
1612,8981
1613,8983
1614,8984
1615,8985
1616,26662
1617,26776
1618,27611
1619,27660
1620,27706
1621,27773
1622,27801
1623,27808
1624,27815
1625,27831
1626,27904
1627,30707
1628,30749
1629,30793
1630,30810
1631,30812
1632,30816
1633,30822
1634,30825
1635,31410
1636,31433
1637,31658
1638,31685
1639,31696
1640,31878
1641,32031
1642,32587
1643,33004
1644,33162
1645,33166
1646,33493
1647,33615
1648,33660
1649,33679
1650,33794
1651,33836
1652,34048
1653,34072
1654,34150
1655,34162
1656,34319
1657,34405
1658,34437
1659,34520
1660,35836
1661,36401
1662,36517
1663,36519
1664,36529
1665,36708
1666,37384
1667,37386
1668,37727
1669,37729
1670,37733
1671,37741
1672,38038
1673,38061
1674,39183
1675,39292
1676,39446
1677,40278
1678,40583
1679,40629
1680,40732
1681,40815
1682,40819
1683,41285
1684,41566
1685,41569
1686,41571
1687,41997
1688,42011
1689,42723
1690,42738
1691,43928
1692,44022
1693,44191
1694,44195
1695,44199
1696,44555
1697,44665
1698,44761
1699,44840
1700,44972
1701,44974
1702,45081
1703,45186
1704,45431
1705,45447
1706,45499
1707,45501
1708,45517
1709,45666
1710,45672
1711,45720
1712,45722
1713,45728
1714,45880
1715,45950
1716,46335
1717,46530
1718,46578
1719,46723
1720,46965
1721,46970
1722,46972
1723,46976
1724,47099
1725,47200
1726,47518
1727,47610
1728,47629
1729,47997
1730,48043
1731,48082
1732,48304
1733,48385
1734,48394
1735,48516
1736,48738
1737,48774
1738,48780
1739,48783
1740,48877
1741,49272
1742,49274
1743,49278
1744,49286
1745,49530
1746,49649
1747,49651
1748,50068
1749,50872
1750,51077
1751,51086
1752,51255
1753,51412
1754,51540
1755,51662
1756,51935
1757,52245
1758,52281
1759,52287
1760,52328
1761,52435
1762,52604
1763,52722
1764,52973
1765,52975
1766,53000
1767,53121
1768,53125
1769,53322
1770,53464
1771,53519
1772,53894
1773,53953
1774,53972
1775,53993
1776,53996
1777,54001
1778,54004
1779,54190
1780,54259
1781,54272
1782,54286
1783,54503
1784,54881
1785,54995
1786,54997
1787,54999
1788,55052
1789,55118
1790,55247
1791,55269
1792,55276
1793,55282
1794,55290
1795,55442
1796,55765
1797,55820
1798,56145
1799,56152
1800,56171
1801,56174
1802,56367
1803,56587
1804,56757
1805,56775
1806,56782
1807,56941
1808,56949
1809,57368
1810,57640
1811,57669
1812,58025
1813,58047
1814,58293
1815,58295
1816,58559
1817,58803
1818,58998
1819,59022
1820,59258
1821,59315
1822,59369
1823,59387
1824,59501
1825,59615
1826,59725
1827,59784
1828,59900
1829,60040
1830,60069
1831,60072
1832,60074
1833,60126
1834,60397
1835,60684
1836,60756
1837,60950
1838,61024
1839,61132
1840,61240
1841,61323
1842,62374
1843,62434
1844,62849
1845,62999
1846,63082
1847,63113
1848,63131
1849,63859
1850,63876
1851,63992
1852,64614
1853,64716
1854,64839
1855,64957
1856,64969
1857,64983
1858,65088
1859,65230
1860,65261
1861,66097
1862,66203
1863,66934
1864,67087
1865,67255
1866,67734
1867,68157
1868,68237
1869,68319
1870,68358
1871,68554
1872,68791
1873,68954
1874,69122
1875,69406
1876,69481
1877,69526
1878,69644
1879,69757
1880,69844
1881,69951
1882,70183
1883,70286
1884,70293
1885,71057
1886,71264
1887,71464
1888,71530
1889,71535
1890,71745
1891,72011
1892,72226
1893,72378
1894,72641
1895,72737
1896,72998
1897,73017
1898,73321
1899,74458
1900,74789
1901,76077
1902,76093
1903,76175
1904,76251
1905,76293
1906,77455
1907,77561
1908,78105
1909,78469
1910,78499
1911,79091
1912,79132
1913,79293
1914,79592
1915,79695
1916,79702
1917,80219
1918,80463
1919,80489
1920,80549
1921,80906
1922,81229
1923,81562
1924,81564
1925,81591
1926,81834
1927,81845
1928,81847
1929,81932
1930,82459
1931,82461
1932,83134
1933,83349
1934,84152
1935,84374
1936,84772
1937,84944
1938,84954
1939,85414
1940,85510
1941,86190
1942,86332
1943,86833
1944,86880
1945,86882
1946,86911
1947,87222
1948,87232
1949,87306
1950,87520
1951,87869
1952,88125
1953,88129
1954,88140
1955,88163
1956,88405
1957,88744
1958,88810
1959,89470
1960,89492
1961,89745
1962,89774
1963,89864
1964,89904
1965,90405
1966,90746
1967,90866
1968,91077
1969,91500
1970,91529
1971,91535
1972,91542
1973,91630
1974,91658
1975,92259
1976,93326
1977,93363
1978,93510
1979,93840
1980,94677
1981,94777
1982,94864
1983,94959
1984,95167
1985,95441
1986,95510
1987,96079
1988,96588
1989,96610
1990,96737
1991,96821
1992,97225
1993,97304
1994,97306
1995,97752
1996,97913
1997,97921
1998,97938
1999,98243
2000,98809
2001,98961
2002,99007
2003,99112
2004,99114
2005,101864
2006,102123
2007,102125
2008,102407
2009,102445
2010,102903
2011,103042
2012,103141
2013,103228
2014,103249
2015,103253
2016,103335
2017,103341
2018,103772
2019,104211
2020,104241
2021,104374
2022,104841
2023,104879
2024,104913
2025,105504
2026,105844
2027,106002
2028,106072
2029,106100
2030,106487
2031,106489
2032,106696
2033,106782
2034,106916
2035,106918
2036,106920
2037,107348
2038,107406
2039,108190
2040,108932
2041,109374
2042,109487
2043,110102
2044,110553
2045,111113
2046,111360
2047,111362
2048,111364
2049,111659
2050,111743
2051,111759
2052,111781
2053,112138
2054,112175
2055,112183
2056,112290
2057,112552
2058,112556
2059,112623
2060,112852
2061,114180
2062,114662
2063,115149
2064,115210
2065,115569
2066,115617
2067,115713
2068,116797
2069,116823
2070,117176
2071,117529
2072,117590
2073,118696
2074,119141
2075,119145
2076,122882
2077,122886
2078,122892
2079,122900
2080,122904
2081,122906
2082,122912
2083,122916
2084,122918
2085,122920
2086,122922
2087,122924
2088,122926
2089,128360
2090,134130
2091,134368
2092,134853
2093,135143
2094,135536
2095,135569
2096,135887
2097,136020
2098,136864
2099,137857
2100,138036
2101,139385
2102,139644
2103,140110
2104,142488
2105,143355
2106,148626
2107,152077
2108,152081
2109,157296
2110,158238
2111,159093
2112,164179
2113,166528
2114,168250
2115,168252
2116,174055
2117,176371
2118,177765
2119,179819
2120,187593
